1001,4210112345678,Ahmed Khan,123 Street - Karachi,03001234567,D,3,15-01-2021,250,100
1002,4220198765432,Sadia Malik,456 Avenue - Lahore,03019876543,C,1,20-02-2021,500,0
1003,4230156789123,Zain Ali,789 Road - Islamabad,03005678901,D,1,05-03-2021,300,0
1004,4240123456789,Ayesha Tariq,1011 Lane - Rawalpindi,03004567892,C,3,10-04-2021,600,250
1005,4250143210987,Faisal Mahmood,1213 Boulevard - Faisalabad,03002349876,D,1,15-05-2021,200,0
1006,4260176543210,Mariam Shah,1415 Park - Peshawar,03005432109,C,3,22-06-2021,700,300
1007,4270167891234,Omer Farooq,1617 Crescent - Quetta,03001239876,D,1,01-07-2021,350,0
1008,4280112345678,Hina Aslam,1819 Garden - Multan,03007894561,C,3,10-08-2021,450,210
1009,4290145678901,Usman Raza,2021 Orchard - Sialkot,03002134567,D,1,15-09-2021,400,0
1010,4210123456789,Nida Jameel,2223 Plaza - Hyderabad,03001256789,C,3,05-10-2021,550,180
